"country","unit","date","measure","category","new_val","source","entered_by","reviewed_by"
"CH","CH-VD",2020-03-16,"distance teaching","schools",1,NA,"SB","FK"
"CH","CH-VD",2020-03-13,"ban on events with more than 50 persons","events",4,NA,"SB","FK"
"CH","CH-VD",2020-03-13,"closure of all leisure and entertainment places","retailgastro",2,NA,"SB","FK"
"CH","CH-VD",2020-03-16,"ban on gathering of more than 10 people","events",5,NA,"SB","FK"
"CH","CH-VD",2020-03-16,"closure of all non necessary shops","retailgastro",2,NA,"SB","FK"
"CH","CH-VD",2020-03-16,"companies must force home office whenever possible","stayathome",1,NA,"SB","FK"
"CH","CH-VD",2020-03-16,"ban on hopsital and retirement home visits","carefacilities",2,NA,"SB","FK"
"CH","CH-VD",2020-02-27,"first case detected with testing","casemanagement",1,"https://www.vd.ch/toutes-les-actualites/hotline-et-informations-sur-le-coronavirus/actualites/news/12509i-coronavirus-premier-cas-detecte-dans-le-canton-de-vaud/","FK","FK"
