date_implemented,date_lifted,measure,level,unit,source,measure_cat
2020-02-28,NA,school ski camps not canceled,canton,NE,NA,NA
2020-03-04,NA,ban on all events with more than 500 persons,canton,NE,NA,NA
2020-03-04,NA,meldepflicht for events smaller than 500 persons,canton,NE,NA,NA
2020-03-04,NA,cancelled school trips and ski camps,canton,NE,NA,NA
